Group ID	Average H/M	Total H/M	Hit Proteins	Total Proteins	Hit Species	Total Species	A. thaliana Total	C. elegans Total	D. melanogaster Total	D. rerio Total	H. sapiens Total	S. cerevisiae Total	S. pombe Total	A. thaliana Hit	C. elegans Hit	D. melanogaster Hit	D. rerio Hit	H. sapiens Hit	S. cerevisiae Hit	S. pombe Hit	
KOG0063	1.0	1.0	9	9	7	7	Q9LID6,Q8LPJ4,Q9M0D0	Q9U2K8	Q9VSS1	Q6TNW3	P61221	Q03195	O60102	Q9LID6,Q8LPJ4,Q9M0D0	Q9U2K8	Q9VSS1	Q6TNW3	P61221	Q03195	O60102	
KOG0650	1.0	1.0	7	7	7	7	F4IH25	Q9U2A9	Q7K0Y1	A0JMQ0	Q14137	Q04660	O74399	F4IH25	Q9U2A9	Q7K0Y1	A0JMQ0	Q14137	Q04660	O74399	
KOG2971	1.0	1.0	8	8	7	7	Q9LE16,Q9C928	P34524	Q9VZE6	A0A0R4IBJ2	Q8TDN6	Q08235	Q9HGL6	Q9LE16,Q9C928	P34524	Q9VZE6	A0A0R4IBJ2	Q8TDN6	Q08235	Q9HGL6	
KOG3871	1.0	1.0	6	6	6	6	Q8RWS4	Q20932	P51406		Q13895	P38333	O60071	Q8RWS4	Q20932	P51406		Q13895	P38333	O60071	
KOG1614	1.0	1.0	8	8	7	7	Q9LDM2,Q9M209	Q20128	Q8T4A9	Q5XJQ5	Q06265	Q05636	O74918	Q9LDM2,Q9M209	Q20128	Q8T4A9	Q5XJQ5	Q06265	Q05636	O74918	
KOG0926	1.0	1.0	7	7	7	7	Q9C813	P34305	O46072	B8JLP0	Q8IY37	Q04217	Q9HDY4	Q9C813	P34305	O46072	B8JLP0	Q8IY37	Q04217	Q9HDY4	
KOG0820	1.0	1.0	10	10	7	7	O22268,Q9FK02,O65090	Q09522	Q9VAQ5	B7ZVD7	Q9UNQ2,Q9H5Q4	P41819	Q9USU2	O22268,Q9FK02,O65090	Q09522	Q9VAQ5	B7ZVD7	Q9UNQ2,Q9H5Q4	P41819	Q9USU2	
KOG3080	1.0	1.0	7	7	7	7	Q9LUJ5	Q09958	Q9V9Z9	Q6DRD0	Q99848	P36049	O13802	Q9LUJ5	Q09958	Q9V9Z9	Q6DRD0	Q99848	P36049	O13802	
KOG1423	1.0	1.0	6	6	5	5	Q8VZ74,O82653	Q09523	Q9VG07	B0S6U7	O75616			Q8VZ74,O82653	Q09523	Q9VG07	B0S6U7	O75616			
KOG1596	1.0	1.0	11	11	7	7	Q9FEF8,Q94AH9,Q9FHB3	Q22053	Q9W1V3,Q9VG21	Q7ZTZ4	A6NHQ2,P22087	P15646	P35551	Q9FEF8,Q94AH9,Q9FHB3	Q22053	Q9W1V3,Q9VG21	Q7ZTZ4	A6NHQ2,P22087	P15646	P35551	
KOG1837	1.0	1.0	7	7	7	7	Q9C8Z4	Q23495	Q9VM75	Q7SY48	Q9H583	P42945	O60179	Q9C8Z4	Q23495	Q9VM75	Q7SY48	Q9H583	P42945	O60179	
KOG0948	1.0	1.0	8	8	6	6	Q9ZVW2,Q9XIF2	Q23223	Q9Y134		P42285	P47047	O14232,O13799	Q9ZVW2,Q9XIF2	Q23223	Q9Y134		P42285	P47047	O14232,O13799	
KOG3185	1.0	1.0	8	8	7	7	O22290,Q9M060	O62106	P56538	Q6ZM19	P56537	Q12522	O94476	O22290,Q9M060	O62106	P56538	Q6ZM19	P56537	Q12522	O94476	
KOG3347	1.0	1.0	6	6	6	6	Q9FJI1	Q09527	Q7JYV7		Q9Y3D8	Q12055	Q9UU88	Q9FJI1	Q09527	Q7JYV7		Q9Y3D8	Q12055	Q9UU88	
KOG1783	1.0	1.0	8	8	7	7	Q9M1Z3,O22823	Q95XN6	Q9W2P5	Q6IMW9	P62312	Q06406	Q9UUI1	Q9M1Z3,O22823	Q95XN6	Q9W2P5	Q6IMW9	P62312	Q06406	Q9UUI1	
KOG2600	1.0	1.0	7	7	7	7	Q9FJY5	Q9XW58	Q9VLK1	E7F5L8	O00566	P47083	O13910	Q9FJY5	Q9XW58	Q9VLK1	E7F5L8	O00566	P47083	O13910	
KOG3167	1.0	1.0	7	7	7	7	Q9LEY9	Q9XXD4	Q9V3U2	Q6PBV6	Q9NX24	P32495	Q9P7H0	Q9LEY9	Q9XXD4	Q9V3U2	Q6PBV6	Q9NX24	P32495	Q9P7H0	
KOG3262	1.0	1.0	8	8	7	7	Q8VZT0,Q9FK53	Q9TYK1	Q7KVQ0	Q7ZVE0	Q9NY12	P28007	Q06975	Q8VZT0,Q9FK53	Q9TYK1	Q7KVQ0	Q7ZVE0	Q9NY12	P28007	Q06975	
KOG2463	1.0	1.0	6	6	6	6	Q9FLL1	Q9N3D3	Q9W2Y4		Q9ULX3	Q08444	Q9UTK0	Q9FLL1	Q9N3D3	Q9W2Y4		Q9ULX3	Q08444	Q9UTK0	
KOG2256	1.0	1.0	9	9	7	7	Q9ZPV5,Q0WVH0	O17580	Q9VIF0	F1QFC4	Q9Y3T9	P39744	O13874,Q9P7G0	Q9ZPV5,Q0WVH0	O17580	Q9VIF0	F1QFC4	Q9Y3T9	P39744	O13874,Q9P7G0	
KOG2154	1.0	1.0	7	7	7	7	F4IMH3	P41843	Q9W4R1	Q4VBT2	Q9BVI4	Q06512	O94372	F4IMH3	P41843	Q9W4R1	Q4VBT2	Q9BVI4	Q06512	O94372	
KOG2340	1.0	1.0	7	7	7	7	Q8H1E7	Q9U2I4	Q9W1G1	Q6PEH4	Q68CQ4	P40498	O74974	Q8H1E7	Q9U2I4	Q9W1G1	Q6PEH4	Q68CQ4	P40498	O74974	
KOG1490	1.0	1.0	9	9	6	6	Q9C6I8,Q9LIS0,Q8L7Q9,F4I4A6	O44411	Q9V411		Q9BZE4	Q02892	O94659	Q9C6I8,Q9LIS0,Q8L7Q9,F4I4A6	O44411	Q9V411		Q9BZE4	Q02892	O94659	
KOG2750	1.0	1.0	7	7	7	7	Q8VYP6	Q9U3B6	A1ZA92	E7F654	Q5SY16	Q07845	Q9UU96	Q8VYP6	Q9U3B6	A1ZA92	E7F654	Q5SY16	Q07845	Q9UU96	
KOG3503	1.0	1.0	7	7	7	7	Q93XX8	Q9XVR8	Q9V5P6	Q6DRH5	Q9NPE3	Q6Q547	Q9P7M5	Q93XX8	Q9XVR8	Q9V5P6	Q6DRH5	Q9NPE3	Q6Q547	Q9P7M5	
KOG2823	1.0	1.0	6	6	6	6	O22892	Q9NEU5	Q9W3C2		Q9NZM5	Q12080	Q9UUI4	O22892	Q9NEU5	Q9W3C2		Q9NZM5	Q12080	Q9UUI4	
KOG2036	1.0	1.0	7	7	6	6	Q9XIK4,Q9M2Q4	O01757	Q9W3C1		Q9H0A0	P53914	P87115	Q9XIK4,Q9M2Q4	O01757	Q9W3C1		Q9H0A0	P53914	P87115	
KOG4460	1.0	1.0	4	4	4	4	Q9FFK6		Q9GYU8	A2CEI4	Q99567			Q9FFK6		Q9GYU8	A2CEI4	Q99567			
KOG2481	1.0	1.0	7	7	7	7	Q9LYK7	Q95Y89	Q9VL96	P79741	O00541	P53261	O60164	Q9LYK7	Q95Y89	Q9VL96	P79741	O00541	P53261	O60164	
KOG4046	1.0	1.0	6	6	6	6	Q9ZW76	Q9XVT1	Q9VSC6		O95707	P38336	Q9P7W9	Q9ZW76	Q9XVT1	Q9VSC6		O95707	P38336	Q9P7W9	
KOG2963	1.0	1.0	8	8	6	6	Q9ASU7	O44991	Q9VDE5		Q9NQ55,A0A0B4J1V8	P38789,Q12153	O14206	Q9ASU7	O44991	Q9VDE5		Q9NQ55,A0A0B4J1V8	P38789,Q12153	O14206	
KOG2188	1.0	1.0	7	7	7	7	Q9C552	Q23591	Q7JX95	E7EZJ0	Q86U38	P47077	Q92347	Q9C552	Q23591	Q7JX95	E7EZJ0	Q86U38	P47077	Q92347	
KOG0291	1.0	1.0	6	6	6	6	Q8VYZ5	P91341	Q5U0X8		Q15269	P25635	Q9C1X1	Q8VYZ5	P91341	Q5U0X8		Q15269	P25635	Q9C1X1	
KOG1570	1.0	1.0	11	11	7	7	Q8VZB9,P59230,P59231	Q9N4I4	Q9VTP4,Q9VFE0	Q6PC69	P62906	P0CX43	O14363,O74836	Q8VZB9,P59230,P59231	Q9N4I4	Q9VTP4,Q9VFE0	Q6PC69	P62906	P0CX43	O14363,O74836	
KOG0887	1.0	1.0	12	12	7	7	Q9LMK0,Q9FZH0,Q9C912,P51422	P49180	Q9VNB9	Q6DGM0	P18077	P05744,P41056	Q9USX4,Q9USG6	Q9LMK0,Q9FZH0,Q9C912,P51422	P49180	Q9VNB9	Q6DGM0	P18077	P05744,P41056	Q9USX4,Q9USG6	
KOG0096	1.0	1.0	12	12	7	7	P41916,P41917,Q8H156,Q9FLQ3	O17915	Q9VUN3,Q9VZ23	P79735	P62826	P32835,P32836	P28748	P41916,P41917,Q8H156,Q9FLQ3	O17915	Q9VUN3,Q9VZ23	P79735	P62826	P32835,P32836	P28748	
